CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Balance_over_Salary,Tenure_over_Age,Age_Tenure,CreditScore_over_Age
619,France,Female,42,2,0.0,1,1,1,101348.88,1,0.0,0.047619047619047616,40,14.738095238095237
608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0,0.7446769036217226,0.024390243902439025,40,14.829268292682928
502,France,Female,42,8,159660.8,3,1,0,113931.57,1,1.4013745268322026,0.19047619047619047,34,11.952380952380953
699,France,Female,39,1,0.0,2,0,0,93826.63,0,0.0,0.02564102564102564,38,17.923076923076923
850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0,1.5870550464631954,0.046511627906976744,41,19.767441860465116
645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1,0.7596038935417319,0.18181818181818182,36,14.659090909090908
822,France,Male,50,7,0.0,2,1,1,10062.8,0,0.0,0.14,43,16.44
376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1,0.9639693974404694,0.13793103448275862,25,12.96551724137931
501,France,Male,44,4,142051.07,2,0,1,74940.5,0,1.8955180443151567,0.09090909090909091,40,11.386363636363637
684,France,Male,27,2,134603.88,1,1,1,71725.73,0,1.876647055387237,0.07407407407407407,25,25.333333333333332
528,France,Male,31,6,102016.72,2,0,0,80181.12,0,1.2723284483928388,0.1935483870967742,25,17.032258064516128
497,Spain,Male,24,3,0.0,2,1,0,76390.01,0,0.0,0.125,21,20.708333333333332
476,France,Female,34,10,0.0,2,1,0,26260.98,0,0.0,0.29411764705882354,24,14.0
549,France,Female,25,5,0.0,2,0,0,190857.79,0,0.0,0.2,20,21.96
635,Spain,Female,35,7,0.0,2,1,1,65951.65,0,0.0,0.2,28,18.142857142857142
616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0,2.2250195329320728,0.06666666666666667,42,13.688888888888888
653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1,26.01244882465911,0.017241379310344827,57,11.258620689655173
549,Spain,Female,24,9,0.0,2,1,1,14406.41,0,0.0,0.375,15,22.875
587,Spain,Male,45,6,0.0,1,0,0,158684.81,0,0.0,0.13333333333333333,39,13.044444444444444
726,France,Female,24,6,0.0,2,1,1,54724.03,0,0.0,0.25,18,30.25
732,France,Male,41,8,0.0,2,1,1,170886.17,0,0.0,0.1951219512195122,33,17.853658536585368
636,Spain,Female,32,8,0.0,2,1,0,138555.46,0,0.0,0.25,24,19.875
510,Spain,Female,38,4,0.0,1,1,0,118913.53,1,0.0,0.10526315789473684,34,13.421052631578947
669,France,Male,46,3,0.0,2,0,1,8487.75,0,0.0,0.06521739130434782,43,14.543478260869565
846,France,Female,38,5,0.0,1,1,1,187616.16,0,0.0,0.13157894736842105,33,22.263157894736842
577,France,Male,25,3,0.0,2,0,1,124508.29,0,0.0,0.12,22,23.08
756,Germany,Male,36,2,136815.64,1,1,1,170041.95,0,0.8045993356345302,0.05555555555555555,34,21.0
571,France,Male,44,9,0.0,2,0,0,38433.35,0,0.0,0.20454545454545456,35,12.977272727272727
574,Germany,Female,43,3,141349.43,1,1,1,100187.43,0,1.4108499439500544,0.06976744186046512,40,13.348837209302326
411,France,Male,29,0,59697.17,2,1,1,53483.21,0,1.1161852476693153,0.0,29,14.172413793103448
591,Spain,Female,39,3,0.0,3,1,0,140469.38,1,0.0,0.07692307692307693,36,15.153846153846153
533,France,Male,36,7,85311.7,1,0,1,156731.91,0,0.5443160872600863,0.19444444444444445,29,14.805555555555555
553,Germany,Male,41,9,110112.54,2,0,0,81898.81,0,1.344494993272796,0.21951219512195122,32,13.487804878048781
520,Spain,Female,42,6,0.0,2,1,1,34410.55,0,0.0,0.14285714285714285,36,12.380952380952381
722,Spain,Female,29,9,0.0,2,1,1,142033.07,0,0.0,0.3103448275862069,20,24.896551724137932
475,France,Female,45,0,134264.04,1,1,0,27822.99,1,4.825651017378075,0.0,45,10.555555555555555
490,Spain,Male,31,3,145260.23,1,0,1,114066.77,0,1.273466672195592,0.0967741935483871,28,15.806451612903226
804,Spain,Male,33,7,76548.6,1,0,1,98453.45,0,0.7775105900301108,0.21212121212121213,26,24.363636363636363
850,France,Male,36,7,0.0,1,1,1,40812.9,0,0.0,0.19444444444444445,29,23.61111111111111
582,Germany,Male,41,6,70349.48,2,0,1,178074.04,0,0.3950574716000153,0.14634146341463414,35,14.195121951219512
472,Spain,Male,40,4,0.0,1,1,0,70154.22,0,0.0,0.1,36,11.8
465,France,Female,51,8,122522.32,1,0,0,181297.65,1,0.675807546319547,0.1568627450980392,43,9.117647058823529
556,France,Female,61,2,117419.35,1,1,1,94153.83,0,1.2471011535059169,0.03278688524590164,59,9.114754098360656
834,France,Female,49,2,131394.56,1,0,0,194365.76,1,0.6760170104034784,0.04081632653061224,47,17.020408163265305
660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0,0.9847966118639957,0.08196721311475409,56,10.819672131147541
776,Germany,Female,32,4,109421.13,2,1,1,126517.46,0,0.8648697974176844,0.125,28,24.25
829,Germany,Female,27,9,112045.67,1,1,1,119708.21,1,0.9359898539958119,0.3333333333333333,18,30.703703703703702
637,Germany,Female,39,9,137843.8,1,1,1,117622.8,1,1.1719139486562127,0.23076923076923078,30,16.333333333333332
