Date of birth,President,Birthplace,State† of birth,In office
"February 22, 1732",George Washington,Westmoreland County,Virginia†,"(1st) April 30, 1789 – March 4, 1797"
"October 30, 1735",John Adams,Braintree,Massachusetts†,"(2nd) March 4, 1797 – March 4, 1801"
"April 13, 1743*",Thomas Jefferson,Shadwell,Virginia†,"(3rd) March 4, 1801 – March 4, 1809"
"March 16, 1751",James Madison,Port Conway,Virginia†,"(4th) March 4, 1809 – March 4, 1817"
"April 28, 1758",James Monroe,Monroe Hall,Virginia†,"(5th) March 4, 1817 – March 4, 1825"
"March 15, 1767",Andrew Jackson,Waxhaws Region,South Carolina†,"(7th) March 4, 1829 – March 4, 1837"
"July 11, 1767",John Quincy Adams,Braintree,Massachusetts†,"(6th) March 4, 1825 – March 4, 1829"
"February 9, 1773",William Henry Harrison,Charles City County,Virginia†,"(9th) March 4, 1841 – April 4, 1841"
"December 5, 1782",Martin Van Buren,Kinderhook,New York,"(8th) March 4, 1837 – March 4, 1841"
"November 24, 1784",Zachary Taylor,Barboursville,Virginia,"(12th) March 4, 1849 – July 9, 1850"
"March 29, 1790",John Tyler,Charles City County,Virginia,"(10th) April 4, 1841 – March 4, 1845"
"April 23, 1791",James Buchanan,Cove Gap,Pennsylvania,"(15th) March 4, 1857 – March 4, 1861"
"November 2, 1795",James K. Polk,Pineville,North Carolina,"(11th) March 4, 1845 – March 4, 1849"
"January 7, 1800",Millard Fillmore,Summerhill,New York,"(13th) July 9, 1850 – March 4, 1853"
"November 23, 1804",Franklin Pierce,Hillsborough,New Hampshire,"(14th) March 4, 1853 – March 4, 1857"
"December 29, 1808",Andrew Johnson,Raleigh,North Carolina,"(17th) April 15, 1865 – March 4, 1869"
"February 12, 1809",Abraham Lincoln,Sinking Spring,Kentucky,"(16th) March 4, 1861 – April 15, 1865"
"April 27, 1822",Ulysses S. Grant,Point Pleasant,Ohio,"(18th) March 4, 1869 – March 4, 1877"
"October 4, 1822",Rutherford B. Hayes,Delaware,Ohio,"(19th) March 4, 1877 – March 4, 1881"
"October 5, 1829",Chester A. Arthur,Fairfield,Vermont,"(21st) September 19, 1881 – March 4, 1885"
"November 19, 1831",James A. Garfield,Moreland Hills,Ohio,"(20th) March 4, 1881 – September 19, 1881"
"August 20, 1833",Benjamin Harrison,North Bend,Ohio,"(23rd) March 4, 1889 – March 4, 1893"
"March 18, 1837",Grover Cleveland,Caldwell,New Jersey,"(22nd) March 4, 1885 – March 4, 1889(24th) March 4, 1893 – March 4, 1897"
"January 29, 1843",William McKinley,Niles,Ohio,"(25th) March 4, 1897 – September 14, 1901"
"December 28, 1856",Woodrow Wilson,Staunton,Virginia,"(28th) March 4, 1913 – March 4, 1921"
"September 15, 1857",William H. Taft,Cincinnati,Ohio,"(27th) March 4, 1909 – March 4, 1913"
"October 27, 1858",Theodore Roosevelt,New York City,New York,"(26th) September 14, 1901 – March 4, 1909"
"November 2, 1865",Warren G. Harding,Blooming Grove,Ohio,"(29th) March 4, 1921 – August 2, 1923"
"July 4, 1872",Calvin Coolidge,Plymouth,Vermont,"(30th) August 2, 1923 – March 4, 1929"
"August 10, 1874",Herbert Hoover,West Branch,Iowa,"(31st) March 4, 1929 – March 4, 1933"
"January 30, 1882",Franklin D. Roosevelt,Hyde Park,New York,"(32nd) March 4, 1933 – April 12, 1945"
"May 8, 1884",Harry S. Truman,Lamar,Missouri,"(33rd) April 12, 1945 – January 20, 1953"
"October 14, 1890",Dwight D. Eisenhower,Denison,Texas,"(34th) January 20, 1953 – January 20, 1961"
"August 27, 1908",Lyndon B. Johnson,Stonewall,Texas,"(36th) November 22, 1963 – January 20, 1969"
"February 6, 1911",Ronald Reagan,Tampico,Illinois,"(40th) January 20, 1981 – January 20, 1989"
"January 9, 1913",Richard Nixon,Yorba Linda,California,"(37th) January 20, 1969 – August 9, 1974"
"July 14, 1913",Gerald Ford,Omaha,Nebraska,"(38th) August 9, 1974 – January 20, 1977"
"May 29, 1917",John F. Kennedy,Brookline,Massachusetts,"(35th) January 20, 1961 – November 22, 1963"
"June 12, 1924",George H. W. Bush,Milton,Massachusetts,"(41st) January 20, 1989 – January 20, 1993"
"October 1, 1924",Jimmy Carter,Plains,Georgia,"(39th) January 20, 1977 – January 20, 1981"
"November 20, 1942",Joe Biden (elect),Scranton,Pennsylvania,"(46th) Taking office January 20, 2021"
"June 14, 1946",Donald Trump,New York City,New York,"(45th) January 20, 2017 – present"
"July 6, 1946",George W. Bush,New Haven,Connecticut,"(43rd) January 20, 2001 – January 20, 2009"
"August 19, 1946",Bill Clinton,Hope,Arkansas,"(42nd) January 20, 1993 – January 20, 2001"
"August 4, 1961",Barack Obama,Honolulu,Hawaii,"(44th) January 20, 2009 – January 20, 2017"
"*Gregorian date; Julian date is April 2, 1743 [3]","*Gregorian date; Julian date is April 2, 1743 [3]","*Gregorian date; Julian date is April 2, 1743 [3]","*Gregorian date; Julian date is April 2, 1743 [3]","*Gregorian date; Julian date is April 2, 1743 [3]"
"†Colony, pre–1776, rather than state.","†Colony, pre–1776, rather than state.","†Colony, pre–1776, rather than state.","†Colony, pre–1776, rather than state.","†Colony, pre–1776, rather than state."
